DateTime,DateTime_sum,frame_nr,time_sum_ar,Timestamp,StepCount,last_step_time_ar,RightFootGround,LeftFootGround,step_length_sum_ar,hip_pos_list x,      y  ,      z  ,step_hip_list,LegLength,StepLength,StepLengthRatio,StrideWidth,StrideWidthRatio,StrideLengthRight,StrideLengthRightRatio,StrideTimeRight,StrideLengthLeft,StrideLengthLeftRatio,StrideTimeLeft,Velocity,VelocityRatio,Acceleration,AccelerationRatio,HeadRotationX,HeadRotationY,HeadRotationZ,HeadRotationW
27.11.2023 11:11:22 :438,596,15,0.456798,0.500000,0,-1,1,1,-1,(1.575960, 0.000000, 2.696344),-1,0.884548,0.212472,0.240204,0.210454,0.237922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012956,0.014647,1.586949,1.794079,-0.834315,0.018716,0.549226,-0.043808
27.11.2023 11:11:22 :444,602,16,0.462250,0.533333,0,-1,1,1,-1,(1.575912, 0.000000, 2.696347),-1,0.884548,0.212580,0.240326,0.210554,0.238036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008898,0.010059,1.004672,1.135803,-0.834346,0.018676,0.549185,-0.043763
27.11.2023 11:11:22 :447,605,17,0.465824,0.566667,0,-1,1,1,-1,(1.575839, 0.000000, 2.696353),-1,0.884548,0.212752,0.240521,0.210715,0.238217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020597,0.023285,3.274740,3.702162,-0.834390,0.018617,0.549124,-0.043695
27.11.2023 11:11:22 :450,608,18,0.468620,0.600000,0,-1,1,1,-1,(1.575791, 0.000000, 2.696358),-1,0.884548,0.212865,0.240649,0.210820,0.238337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017307,0.019565,1.178920,1.332794,-0.834420,0.018578,0.549084,-0.043651
27.11.2023 11:11:22 :454,612,19,0.473130,0.633333,0,-1,1,1,-1,(1.575753, 0.000000, 2.696362),-1,0.884548,0.212954,0.240749,0.210903,0.238430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008416,0.009514,1.971222,2.228508,-0.834443,0.018548,0.549053,-0.043616
27.11.2023 11:11:22 :458,616,20,0.477234,0.666667,0,-1,1,1,-1,(1.575691, 0.000000, 2.696368),-1,0.884548,0.213098,0.240911,0.211037,0.238582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015020,0.016980,1.609735,1.819839,-0.834480,0.018499,0.549003,-0.043560
27.11.2023 11:11:22 :461,619,21,0.479855,0.700000,0,-1,1,1,-1,(1.575635, 0.000000, 2.696375),-1,0.884548,0.213228,0.241059,0.211159,0.238719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021527,0.024337,2.483674,2.807846,-0.834514,0.018454,0.548957,-0.043509
27.11.2023 11:11:22 :466,624,22,0.483942,0.733333,0,-1,1,1,-1,(1.575600, 0.000000, 2.696379),-1,0.884548,0.213312,0.241154,0.211237,0.238808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008835,0.009988,3.105386,3.510705,-0.834535,0.018426,0.548928,-0.043476
27.11.2023 11:11:22 :468,626,23,0.486932,0.766667,0,-1,1,1,-1,(1.575544, 0.000000, 2.696386),-1,0.884548,0.213443,0.241301,0.211359,0.238945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018896,0.021362,3.366361,3.805742,-0.834569,0.018381,0.548882,-0.043425
27.11.2023 11:11:22 :473,631,24,0.491366,0.800000,0,-1,1,1,-1,(1.575503, 0.000000, 2.696391),-1,0.884548,0.213533,0.241403,0.211442,0.239040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009309,0.010524,2.161924,2.444100,-0.834593,0.018348,0.548850,-0.043388
27.11.2023 11:11:22 :476,634,25,0.494940,0.833333,0,-1,1,1,-1,(1.575444, 0.000000, 2.696393),-1,0.884548,0.213580,0.241457,0.211485,0.239088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016517,0.018673,2.041672,2.308153,-0.834618,0.018291,0.548818,-0.043339
27.11.2023 11:11:22 :479,637,26,0.497511,0.866667,0,-1,1,1,-1,(1.575396, 0.000000, 2.696394),-1,0.884548,0.213618,0.241500,0.211518,0.239126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018648,0.021082,0.829757,0.938058,-0.834638,0.018245,0.548792,-0.043300
